Sentence #,Word,ANM,NER
,##의,ANM-I,NUM-I
,외교,ANM-I,PER-B
,소식,ANM-I,PER-I
,##통은,ANM-I,PER-I
,전했다,O,O
,[SEP],O,O
Sentence 7,[CLS],O,O
,회사,ANM-B,ETC-B
,##원,ANM-I,ETC-I
,양,ANM-I,PER-B
,##희,ANM-I,PER-I
,##준,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,49,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,또한,O,O
,적은,O,O
,임금,O,O
,##으로,O,O
,고통,O,O
,##받는다,O,O
,[SEP],O,O
Sentence 8,[CLS],O,O
,회사,ANM-B,ETC-B
,##원,ANM-I,ETC-I
,박,ANM-I,PER-B
,##준,ANM-I,PER-I
,##우,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,30,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,는,O,O
,동료,O,O
,##가,O,O
,상,O,O
,##사의,O,O
,차에,O,O
,생활용품,O,O
,##을,O,O
,일일이,O,O
,날라,O,O
,##주는,O,O
,것을,O,O
,보며,O,O
,[UNK],O,O
,군대,O,O
,##에서,O,O
,졸,O,O
,##병이,O,O
,선임,O,O
,##들,O,O
,간식을,O,O
,하나하나,O,O
,관,O,O
,##물,O,O
,##대,O,O
,##마다,O,O
,갖다,O,O
,##놓,O,O
,##아야,O,O
,했던,O,O
,[UNK],O,O
,기억을,O,O
,떠올,O,O
,##렸다,O,O
,[SEP],O,O
Sentence 9,[CLS],O,O
,회사,ANM-B,FLD-B
,안팎,ANM-I,FLD-I
,##에서는,ANM-I,O
,정,O,O
,내정,O,O
,##자가,O,O
,낙,O,O
,##점,O,O
,##된,O,O
,데는,O,O
,[UNK],O,O
,젊은,O,O
,총,O,O
,##수,O,O
,[UNK],O,O
,인,O,O
,구,O,O
,회장,O,O
,취임,O,O
,이후,O,O
,인사,O,O
,기,O,O
,##조가,O,O
,반영,O,O
,##된,O,O
,것으로,O,O
,풀이,O,O
,##한다,O,O
,[SEP],O,O
Sentence 10,[CLS],O,O
,회사,ANM-B,ORG-B
,관계자는,ANM-I,PER-B
,[UNK],O,O
,재,O,O
,##택,O,O
,##근무,O,O
,##를,O,O
,끝낸,O,O
,직장,O,O
,여성들이,O,O
,가볍고,O,O
,따뜻한,O,O
,아우터,O,O
,##를,O,O
,많이,O,O
,찾고,O,O
,있다,O,O
,[UNK],O,O
,면,O,O
,##서,O,O
,[UNK],O,O
,패션,O,O
,##업계,O,O
,실적,O,O
,##은,O,O
,겨울,O,O
,시즌에,O,O
,성,O,O
,##패,O,O
,##가,O,O
,판,O,O
,##가,O,O
,##름,O,O
,##나는,O,O
,##데,O,O
,올,O,O
,연말,O,O
,##에는,O,O
,기대가,O,O
,크다,O,O
,[UNK],O,O
,고,O,O
,말했다,O,O
,[SEP],O,O
Sentence 11,[CLS],O,O
,회사,ANM-B,ORG-B
,관계자는,ANM-I,PER-B
,[UNK],O,O
,이번에,O,O
,확보,O,O
,##한,O,O
,요소,O,O
,중,O,O
,러시아,O,O
,500,O,O
,##t,O,O
,##을,O,O
,제외한,O,O
,물량,O,O
,##은,O,O
,연,O,O
,##내,O,O
,입고,O,O
,##가,O,O
,가능할,O,O
,것으로,O,O
,보인다,O,O
,[UNK],O,O
,며,O,O
,[UNK],O,O
,이를,O,O
,통해,O,O
,기존,O,O
,11월,O,O
,##말,O,O
,예상,O,O
,##되었던,O,O
,요소,O,O
,##수,O,O
,생산,O,O
,중단,O,O
,##을,O,O
,피할,O,O
,수,O,O
,있게,O,O
,됐다,O,O
,[UNK],O,O
,고,O,O
,말했다,O,O
,[SEP],O,O
Sentence 12,[CLS],O,O
,회담,O,O
,##에,O,O
,앞서,O,O
,미국,ANM-B,LOC-B
,고위,ANM-I,PER-B
,당,ANM-I,PER-I
,##국,ANM-I,PER-I
,##자는,ANM-I,PER-I
,탈,O,O
,##레,O,O
,##반,O,O
,측에,O,O
,미국,O,O
,##인과,O,O
,아프,O,O
,##간,O,O
,##인의,O,O
,안전한,O,O
,추가,O,O
,대피,O,O
,보장,O,O
,",",O,O
,납치,O,O
,##된,O,O
,미국,O,O
,##인,O,O
,마크,O,O
,프레,O,O
,##릭스,O,O
,##의,O,O
,석,O,O
,##방,O,O
,등을,O,O
,압박,O,O
,##할,O,O
,것이라고,O,O
,밝혔다,O,O
,[SEP],O,O
Sentence 13,[CLS],O,O
,다른,ANM-B,NUM-B
,정부,ANM-I,ORG-B
,당,ANM-I,PER-B
,##국,ANM-I,PER-I
,##자는,ANM-I,PER-I
,2차,O,O
,정상회담,O,O
,##이,O,O
,6,O,O
,[UNK],O,O
,12,O,O
,싱가포르,O,O
,1차,O,O
,정상회담,O,O
,##과,O,O
,비슷한,O,O
,형식으로,O,O
,진행될,O,O
,것이라고,O,O
,밝혔다,O,O
,[SEP],O,O
Sentence 14,[CLS],O,O
,회계,ANM-B,ETC-B
,##사로,ANM-I,ETC-I
,일하는,ANM-I,O
,정이,ANM-I,PER-B
,##훈,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,33,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,는,O,O
,[UNK],O,O
,유가,O,O
,##족,O,O
,입장에,O,O
,##는,O,O
,찬성,O,O
,##하지만,O,O
,자꾸,O,O
,투쟁,O,O
,##하는,O,O
,모습으로,O,O
,비치는,O,O
,것만,O,O
,##은,O,O
,보기,O,O
,##가,O,O
,좋지,O,O
,않았다,O,O
,[UNK],O,O
,고,O,O
,했다,O,O
,[SEP],O,O
Sentence 15,[CLS],O,O
,황,ANM-B,ETC-B
,전,ANM-I,ETC-I
,사장,ANM-I,ETC-I
,##과,ANM-I,ETC-I
,일,ANM-I,ETC-I
,##한,ANM-I,ETC-I
,공사,ANM-I,ORG-B
,##의,ANM-I,ORG-I
,한,ANM-I,NUM-B
,관계자는,ANM-I,PER-B
,태도를,O,O
,바꾼,O,O
,황,O,O
,전,O,O
,사장,O,O
,##을,O,O
,두고,O,O
,[UNK],O,O
,상황이,O,O
,정말,O,O
,안타깝,O,O
,##다,O,O
,[UNK],O,O
,며,O,O
,[UNK],O,O
,황,O,O
,전,O,O
,사장은,O,O
,유동,O,O
,##규,O,O
,전,O,O
,공사,O,O
,기획,O,O
,##본부,O,O
,##장에게,O,O
,구,O,O
,##박이,O,O
,##나,O,O
,멸,O,O
,##시를,O,O
,당했다,O,O
,"""",O,O
,고,O,O
,말했다,O,O
,[SEP],O,O
Sentence 16,[CLS],O,O
,환,O,O
,##구,O,O
,##시,O,O
,##보는,O,O
,한국의,ANM-B,LOC-B
,소식,ANM-I,PER-B
,##통을,ANM-I,PER-I
,인용,O,O
,##해,O,O
,한국이,O,O
,제시한,O,O
,정상회담,O,O
,조건을,O,O
,일본이,O,O
,받아들이,O,O
,##지,O,O
,않은,O,O
,것도,O,O
,소,O,O
,##마,O,O
,총괄,O,O
,##공사,O,O
,사건,O,O
,외의,O,O
,방,O,O
,##일,O,O
,실패,O,O
,요인,O,O
,중,O,O
,하나,O,O
,##라고,O,O
,분석했다,O,O
,[SEP],O,O
Sentence 17,[CLS],O,O
,환,O,O
,##구,O,O
,##시,O,O
,##보는,O,O
,한국,O,O
,언론,O,O
,##을,O,O
,인용,O,O
,##해,O,O
,[UNK],O,O
,익,ANM-B,WHY-B
,##명을,ANM-I,WHY-I
,요구,ANM-I,WHY-I
,##한,ANM-I,WHY-I
,인사,ANM-I,PER-B
,##는,O,O
,북한이,O,O
,러시아의,O,O
,김,O,O
,제1,O,O
,##비서,O,O
,초청,O,O
,##에,O,O
,적극,O,O
,##적,O,O
,태도를,O,O
,보이는,O,O
,것은,O,O
,중국,O,O
,##으로,O,O
,하여금,O,O
,북한,O,O
,##과의,O,O
,관계를,O,O
,개선,O,O
,##하도록,O,O
,하려는,O,O
,것일,O,O
,수,O,O
,있다고,O,O
,말했다,O,O
,[UNK],O,O
,고,O,O
,보도했다,O,O
,[SEP],O,O
Sentence 18,[CLS],O,O
,환경,ANM-B,ORG-B
,##정책,ANM-I,ORG-I
,##평가,ANM-I,ORG-I
,##연구원,ANM-I,ORG-I
,관계자는,ANM-I,PER-B
,그해,O,O
,3월,O,O
,작성된,O,O
,전략,O,O
,##환경,O,O
,##영,O,O
,##향,O,O
,##평가,O,O
,보고서,O,O
,초,O,O
,##안에서,O,O
,[UNK],O,O
,대상,O,O
,##지,O,O
,##내,O,O
,하천,O,O
,##과,O,O
,대상,O,O
,##지,O,O
,주변의,O,O
,양호,O,O
,##한,O,O
,지형,O,O
,및,O,O
,식,O,O
,##생을,O,O
,보존,O,O
,##하는,O,O
,친환경,O,O
,##적,O,O
,토지,O,O
,##이용,O,O
,##계획을,O,O
,수립,O,O
,##해야,O,O
,한다,O,O
,[UNK],O,O
,고,O,O
,지적했다,O,O
,[SEP],O,O
Sentence 19,[CLS],O,O
,환,ANM-B,ETC-B
,##갑,ANM-I,ETC-I
,##을,ANM-I,O
,앞둔,ANM-I,O
,박정,ANM-I,PER-B
,##순,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,59,ANM-I,ETC-B
,[UNK],ANM-I,O
,여,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,는,O,O
,얼마,O,O
,전부터,O,O
,병원,O,O
,청소,O,O
,##일을,O,O
,다시,O,O
,시작했다,O,O
,[SEP],O,O
Sentence 20,[CLS],O,O
,화학,ANM-B,FLD-B
,##업계,ANM-I,FLD-I
,관계자는,ANM-I,PER-B
,[UNK],O,O
,연말,O,O
,##까진,O,O
,기존에,O,O
,확보,O,O
,##한,O,O
,재고,O,O
,##로,O,O
,수요,O,O
,##를,O,O
,감당,O,O
,##할,O,O
,수,O,O
,있겠지만,O,O
,",",O,O
,내년,O,O
,초,O,O
,##부터는,O,O
,중국,O,O
,등에서,O,O
,요소를,O,O
,수입,O,O
,##하지,O,O
,못하면,O,O
,요소,O,O
,##수,O,O
,공급,O,O
,##에,O,O
,차,O,O
,##질이,O,O
,빚,O,O
,##어질,O,O
,수,O,O
,있다,O,O
,[UNK],O,O
,고,O,O
,말했다,O,O
,[SEP],O,O
Sentence 21,[CLS],O,O
,화학,ANM-B,FLD-B
,업계,ANM-I,FLD-I
,관계자는,ANM-I,PER-B
,[UNK],O,O
,중국,O,O
,제조사,O,O
,##에선,O,O
,정부의,O,O
,결정,O,O
,때문에,O,O
,수출,O,O
,물량,O,O
,##을,O,O
,확보,O,O
,##하기,O,O
,어렵다는,O,O
,말만,O,O
,되풀이,O,O
,##하고,O,O
,있다,O,O
,[UNK],O,O
,며,O,O
,[UNK],O,O
,기업이,O,O
,나서,O,O
,중국,O,O
,정부,O,O
,##를,O,O
,설득,O,O
,##하기,O,O
,어려운,O,O
,만큼,O,O
,정부가,O,O
,나서,O,O
,수입,O,O
,물량,O,O
,##을,O,O
,확보,O,O
,##하지,O,O
,않으면,O,O
,당분간,O,O
,품,O,O
,##귀,O,O
,현상은,O,O
,이어질,O,O
,전망,O,O
,[UNK],O,O
,이라고,O,O
,말했다,O,O
,[SEP],O,O
Sentence 22,[CLS],O,O
,화학,ANM-B,FLD-B
,업계,ANM-I,FLD-I
,관계자는,ANM-I,PER-B
,[UNK],O,O
,중국,O,O
,정부의,O,O
,수출,O,O
,규제,O,O
,##가,O,O
,시작,O,O
,##되기,O,O
,전에,O,O
,시장에,O,O
,풀,O,O
,##린,O,O
,물량이,O,O
,적지,O,O
,않았,O,O
,##음에도,O,O
,가격이,O,O
,급등,O,O
,##한,O,O
,건,O,O
,수요가,O,O
,몰,O,O
,##리면서,O,O
,일어난,O,O
,현상,O,O
,##으로,O,O
,보인다,O,O
,[UNK],O,O
,고,O,O
,말했다,O,O
,[SEP],O,O
Sentence 23,[CLS],O,O
,화학,ANM-B,FLD-B
,업계,ANM-I,FLD-I
,관계자는,ANM-I,PER-B
,[UNK],O,O
,중국,O,O
,정부가,O,O
,사실상,O,O
,요소,O,O
,##수,O,O
,수출,O,O
,##을,O,O
,금지,O,O
,##하고,O,O
,있어,O,O
,기업,O,O
,차원에서,O,O
,물량,O,O
,##을,O,O
,확보,O,O
,##하는,O,O
,건,O,O
,한계가,O,O
,있다,O,O
,[UNK],O,O
,며,O,O
,[UNK],O,O
,정부가,O,O
,나서,O,O
,수입,O,O
,물량,O,O
,##을,O,O
,확보,O,O
,##하지,O,O
,않으면,O,O
,당분간,O,O
,품,O,O
,##귀,O,O
,현상은,O,O
,이어질,O,O
,전망,O,O
,[UNK],O,O
,이라고,O,O
,말했다,O,O
,[SEP],O,O
Sentence 24,[CLS],O,O
,화학,ANM-B,FLD-B
,업계,ANM-I,FLD-I
,관계자는,ANM-I,PER-B
,[UNK],O,O
,공급,O,O
,##사,O,O
,기준으로,O,O
,국내,O,O
,요소,O,O
,##수,O,O
,재고,O,O
,##는,O,O
,11월,O,O
,말이,O,O
,##면,O,O
,동,O,O
,##이,O,O
,날,O,O
,것,O,O
,[UNK],O,O
,이라,O,O
,##며,O,O
,[UNK],O,O
,미리,O,O
,풀,O,O
,##린,O,O
,물량,O,O
,등을,O,O
,고려해,O,O
,유통,O,O
,##사,O,O
,기준으로,O,O
,잡아,O,O
,##도,O,O
,올해,O,O
,연말,O,O
,##이면,O,O
,요소,O,O
,##수,O,O
,재고가,O,O
,모두,O,O
,소진,O,O
,##될,O,O
,것으로,O,O
,예상,O,O
,##한다,O,O
,[UNK],O,O
,고,O,O
,말했다,O,O
,[SEP],O,O
Sentence 25,[CLS],O,O
,화,O,O
,##이자,O,O
,##는,O,O
,최근,O,O
,미국,O,O
,식품의,O,O
,##약,O,O
,##국,O,O
,(,O,O
,f,O,O
,##da,O,O
,),O,O
,에,O,O
,코로나19,O,O
,부스터,O,O
,##샷,O,O
,##에,O,O
,대한,O,O
,긴급,O,O
,사용,O,O
,##승,O,O
,##인을,O,O
,신청,O,O
,##했고,O,O
,",",O,O
,화,O,O
,##이자,O,O
,##와,O,O
,f,O,O
,##da,O,O
,고위,O,O
,당,O,O
,##국,O,O
,##자는,O,O
,이날,O,O
,면,O,O
,##담을,O,O
,진행했다,O,O
,[SEP],O,O
Sentence 26,[CLS],O,O
,정부,ANM-B,ORG-B
,당,ANM-I,PER-B
,##국,ANM-I,PER-I
,##자는,ANM-I,PER-B
,이에,O,O
,대해,O,O
,[UNK],O,O
,제약,O,O
,##사,O,O
,표준,O,O
,##계약,O,O
,##서에,O,O
,따라,O,O
,비밀,O,O
,##유지,O,O
,##나,O,O
,책임,O,O
,문제를,O,O
,당연히,O,O
,논의,O,O
,##한다,O,O
,[SEP],O,O
Sentence 27,[CLS],O,O
,화요일,O,O
,서울,ANM-B,LOC-B
,중구,ANM-I,LOC-I
,정동,ANM-I,LOC-I
,##의,ANM-I,O
,직장인,ANM-I,ETC-B
,이,ANM-I,PER-B
,##덕,ANM-I,PER-I
,##수,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,[UNK],ANM-I,O
,42,ANM-I,ETC-B
,),ANM-I,O
,는,O,O
,근처,O,O
,식당에서,O,O
,음식을,O,O
,포장해,O,O
,왔다,O,O
,[SEP],O,O
Sentence 28,[CLS],O,O
,홍콩,ANM-B,ETC-B
,##인,ANM-I,ETC-I
,케이,ANM-I,PER-B
,(,ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,는,O,O
,[UNK],O,O
,가능한,O,O
,한,O,O
,빨리,O,O
,홍콩,O,O
,##을,O,O
,떠나,O,O
,##기,O,O
,위해,O,O
,충분한,O,O
,계획,O,O
,없이,O,O
,다른,O,O
,나라,O,O
,##로,O,O
,이동,O,O
,##한,O,O
,이들이,O,O
,많은,O,O
,문제를,O,O
,겪고,O,O
,있다고,O,O
,들었다,O,O
,[UNK],O,O
,며,O,O
,[UNK],O,O
,몇몇,O,O
,홍콩,O,O
,시민,O,O
,##들은,O,O
,시위,O,O
,때문에,O,O
,당,O,O
,##국에,O,O
,체포,O,O
,##될,O,O
,##까,O,O
,두려워,O,O
,##하고,O,O
,있다,O,O
,[UNK],O,O
,고,O,O
,말했다,O,O
,[SEP],O,O
Sentence 29,[CLS],O,O
,홍콩,O,O
,##의,O,O
,사우,O,O
,##스,O,O
,##차이,O,O
,##나,O,O
,##모닝,O,O
,##포스,O,O
,##트,O,O
,(,O,O
,sc,O,O
,##m,O,O
,##p,O,O
,),O,O
,는,O,O
,13일,O,O
,중국,ANM-B,ETC-B
,인민,ANM-I,ETC-I
,##해,ANM-I,ETC-I
,##방,ANM-I,ETC-I
,##군,ANM-I,ETC-I
,(,ANM-I,ETC-I
,pl,ANM-I,ETC-I
,##a,ANM-I,ETC-I
,),ANM-I,ETC-I
,과,ANM-I,O
,가까운,ANM-I,O
,소식,ANM-I,PER-B
,##통을,ANM-I,PER-I
,인용,O,O
,##해,O,O
,이같이,O,O
,보도했다,O,O
,[SEP],O,O
Sentence 30,[CLS],O,O
,홍콩,O,O
,영,O,O
,##자,O,O
,##지,O,O
,사우,O,O
,##스,O,O
,##차이,O,O
,##나,O,O
,##모닝,O,O
,##포스,O,O
,##트,O,O
,(,O,O
,sc,O,O
,##m,O,O
,##p,O,O
,),O,O
,는,O,O
,익,ANM-B,WHY-B
,##명의,ANM-I,WHY-I
,소식,ANM-I,PER-B
,##통을,ANM-I,PER-I
,인용,O,O
,##해,O,O
,오는,O,O
,202,O,O
,##2년,O,O
,7월,O,O
,##1일,O,O
,홍콩,O,O
,회,O,O
,##귀,O,O
,25,O,O
,##주년,O,O
,기념,O,O
,행사에,O,O
,##서,O,O
,중국,O,O
,##식,O,O
,제,O,O
,##식,O,O
,훈련,O,O
,방식이,O,O
,적용,O,O
,##될,O,O
,것이라고,O,O
,보도했다,O,O
,[SEP],O,O
Sentence 31,[CLS],O,O
,홍콩,ANM-B,ETC-B
,시민,ANM-I,ETC-I
,케이,ANM-I,PER-B
,램,ANM-I,PER-I
,(,ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,은,O,O
,9일,O,O
,경향,O,O
,##신문,O,O
,##에,O,O
,이렇게,O,O
,말했다,O,O
,[SEP],O,O
Sentence 32,[CLS],O,O
,홍콩,O,O
,스탠,O,O
,##더,O,O
,##드가,O,O
,소식,ANM-B,PER-B
,##통을,ANM-I,PER-I
,인용,O,O
,##해,O,O
,보도,O,O
,##한,O,O
,데,O,O
,따르면,O,O
,경찰은,O,O
,cctv,O,O
,동영상,O,O
,##에서,O,O
,이들,O,O
,3명이,O,O
,아파트,O,O
,중에서,O,O
,주민,O,O
,##이,O,O
,살고,O,O
,있지,O,O
,않은,O,O
,집,O,O
,한,O,O
,곳의,O,O
,출입,O,O
,##카드를,O,O
,이용해,O,O
,건물,O,O
,안으로,O,O
,들어간,O,O
,사실을,O,O
,발견했다,O,O
,##고,O,O
,한다,O,O
,[SEP],O,O
Sentence 33,[CLS],O,O
,홍콩,O,O
,사우,O,O
,##스,O,O
,##차이,O,O
,##나,O,O
,##모닝,O,O
,##포스,O,O
,##트,O,O
,(,O,O
,sc,O,O
,##m,O,O
,##p,O,O
,),O,O
,는,O,O
,한,ANM-B,NUM-B
,소식,ANM-I,PER-B
,##통의,ANM-I,PER-I
,말을,O,O
,인용,O,O
,##해,O,O
,미국이,O,O
,이번,O,O
,회담,O,O
,##에서,O,O
,중국에,O,O
,11월,O,O
,유엔,O,O
,##기,O,O
,##후,O,O
,##변화,O,O
,##협약,O,O
,당사,O,O
,##국,O,O
,##총,O,O
,##회,O,O
,(,O,O
,co,O,O
,##p,O,O
,##26,O,O
,),O,O
,이전에,O,O
,기후,O,O
,##변화,O,O
,##에,O,O
,관해,O,O
,더,O,O
,많은,O,O
,약속을,O,O
,할,O,O
,것을,O,O
,요구,O,O
,##했지만,O,O
,중국이,O,O
,거절,O,O
,##하면서,O,O
,양,O,O
,##측이,O,O
,아무런,O,O
,합의,O,O
,##에,O,O
,이르,O,O
,##지,O,O
,못했다고,O,O
,보도했다,O,O
,[SEP],O,O
Sentence 34,[CLS],O,O
,홍콩,O,O
,사우,O,O
,##스,O,O
,##차이,O,O
,##나,O,O
,##모닝,O,O
,##포스,O,O
,##트,O,O
,(,O,O
,sc,O,O
,##m,O,O
,##p,O,O
,),O,O
,는,O,O
,지난,O,O
,24일,O,O
,복수,ANM-B,NUM-B
,##의,ANM-I,NUM-I
,소식,ANM-I,PER-B
,##통을,ANM-I,PER-I
,인용,O,O
,##해,O,O
,[UNK],O,O
,중국이,O,O
,한국에,O,O
,쿼,O,O
,##드,O,O
,참여,O,O
,여부를,O,O
,수차례,O,O
,문의,O,O
,##했고,O,O
,이에,O,O
,한국은,O,O
,[UNK],O,O
,참여,O,O
,요청을,O,O
,받은,O,O
,적이,O,O
,없다,O,O
,[UNK],O,O
,고,O,O
,답했다,O,O
,[UNK],O,O
,고,O,O
,전했다,O,O
,[SEP],O,O
Sentence 35,[CLS],O,O
,홍콩,O,O
,사우,O,O
,##스,O,O
,##차이,O,O
,##나,O,O
,##모닝,O,O
,##포스,O,O
,##트,O,O
,(,O,O
,sc,O,O
,##m,O,O
,##p,O,O
,),O,O
,는,O,O
,지난,O,O
,14일,O,O
,소식,ANM-B,PER-B
,##통의,ANM-I,PER-I
,말을,O,O
,인용,O,O
,##해,O,O
,셔,O,O
,##면,O,O
,부장,O,O
,##관이,O,O
,다음주,O,O
,중국,O,O
,톈,O,O
,##진,O,O
,(,O,O
,[UNK],O,O
,[UNK],O,O
,),O,O
,에서,O,O
,셰,O,O
,##펑,O,O
,(,O,O
,[UNK],O,O
,[UNK],O,O
,),O,O
,중국,O,O
,외교,O,O
,##부,O,O
,부부,O,O
,##장을,O,O
,만나,O,O
,양국,O,O
,외교,O,O
,##장관,O,O
,회담,O,O
,##과,O,O
,정상회담,O,O
,가능성,O,O
,등을,O,O
,타,O,O
,##진,O,O
,##할,O,O
,것으로,O,O
,보인다고,O,O
,보도,O,O
,##했었다,O,O
,[SEP],O,O
Sentence 36,[CLS],O,O
,홍콩,O,O
,사우,O,O
,##스,O,O
,##차이,O,O
,##나,O,O
,##모닝,O,O
,##포스,O,O
,##트,O,O
,(,O,O
,sc,O,O
,##m,O,O
,##p,O,O
,),O,O
,는,O,O
,8일,O,O
,쉬,O,O
,##치,O,O
,##링,O,O
,상장,O,O
,##이,O,O
,중국,O,O
,군대,O,O
,##의,O,O
,수,O,O
,##뇌,O,O
,기구,O,O
,##인,O,O
,7,O,O
,##인의,O,O
,중앙,O,O
,##군,O,O
,##사,O,O
,##위원회에,O,O
,진입,O,O
,##할,O,O
,가능성이,O,O
,있다고,O,O
,내부,ANM-B,PER-B
,소식,ANM-I,PER-I
,##통을,ANM-I,PER-I
,인용,O,O
,##해,O,O
